Regio's,Perioden,Regio aanduiding,Gemeentecode,Wijkcode,Buurtcode,Gemeentenaam,Meest voorkomende postcode,Dekkingspercentage,Omgevingsadressendichtheid,Stedelijkheid,Aantal inwoners,0 tot 15 jaar,15 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 jaar en ouder,Westers totaal,Niet-westers totaal,Marokko,Nederlandse Antillen en Aruba,Suriname,Turkije,Overig niet-westers,Aantal inkomensontvangers  ,Gemiddeld inkomen per inkomensontvanger ,Gemiddeld inkomen per inwoner ,Personen met laag inkomen,Personen met hoog inkomen,Bedrijfsvestigingen vanaf 2007,Industrie,Commerciële dienstverlening,Niet-commerciële dienstverlening
City,2009,Buurt,153,0,0,Enschede,7511,2,3674,1,2620,2,31,38,17,13,15,9,1,1,1,2,5,2100,22-01-12,18-08-12,53,11,565,1,87,12
"Lasonder, Zeggelt",2009,Buurt,153,0,1,Enschede,7514,1,3167,1,1240,12,15,30,28,15,14,8,1,1,1,3,3,800,34.3,24-02-12,33,30,105,5,73,22
De Laares,2009,Buurt,153,0,2,Enschede,7514,1,3316,1,1530,19,17,37,20,7,13,12,1,0,1,5,4,1000,24-08-12,17-02-12,41,17,75,13,56,31
De Bothoven,2009,Buurt,153,0,3,Enschede,7511,1,3754,1,5720,7,16,30,21,25,14,13,1,1,1,5,5,4400,22-07-12,18-03-12,53,11,180,12,69,19
Hogeland-Noord,2009,Buurt,153,0,4,Enschede,7512,2,3415,1,2610,12,17,30,24,16,12,18,2,1,2,9,5,2000,22-03-12,17.0,55,9,95,19,61,20
Getfert,2009,Buurt,153,0,5,Enschede,7512,1,3265,1,4020,11,14,37,23,15,14,22,1,1,1,4,15,2600,24-05-12,16-03-12,47,14,230,12,66,22
Veldkamp-Getfert-West,2009,Buurt,153,0,6,Enschede,7513,1,2927,1,1920,12,20,31,25,12,15,14,2,1,2,4,6,1600,21-03-12,16-06-12,57,10,110,14,67,19
Horstlanden-Stadsweide,2009,Buurt,153,0,7,Enschede,7513,1,2848,1,2570,11,21,36,22,11,15,13,1,1,1,2,8,1700,27-09-12,20.0,42,18,145,11,60,29
Boddenkamp,2009,Buurt,153,0,8,Enschede,7514,1,2549,1,480,8,22,37,21,11,14,11,1,1,2,2,5,400,27-07-12,21-05-12,50,26,135,13,76,11
Velve-Lindenhof,2009,Buurt,153,1,0,Enschede,7533,1,2235,2,4520,16,21,29,23,11,12,16,1,1,2,7,5,3100,20-08-12,15-02-12,54,7,140,24,60,16
Wooldrik,2009,Buurt,153,1,1,Enschede,7535,2,1701,2,1230,18,8,21,31,21,12,2,0,0,1,0,1,1000,34.8,25-07-12,33,28,50,14,59,27
Hogeland-Zuid,2009,Buurt,153,1,2,Enschede,7535,1,1680,2,2390,19,10,28,28,15,11,2,0,0,0,1,1,1800,28-09-12,20-03-12,37,18,65,19,67,14
Varvik-Diekman,2009,Buurt,153,1,3,Enschede,7541,2,2118,2,3490,18,12,29,27,14,12,12,1,0,0,5,4,2400,25-06-12,18.0,45,15,170,10,66,24
Sleutelkamp,2009,Buurt,153,1,4,Enschede,7532,2,855,4,440,19,13,42,20,7,9,6,0,0,1,3,2,300,22-06-12,15-01-12,50,11,30,x,x,x
't Weldink,2009,Buurt,153,1,5,Enschede,7532,3,925,4,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
De Leuriks,2009,Buurt,153,1,6,Enschede,7535,4,890,4,100,22,17,18,32,10,7,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Cromhoffsbleek-Kotman,2009,Buurt,153,2,0,Enschede,7543,1,2225,2,2280,16,19,33,12,20,12,31,3,1,3,12,12,1600,20-01-12,14-04-12,63,7,40,x,x,x
Boswinkel-De Braker,2009,Buurt,153,2,1,Enschede,7543,1,2696,1,3960,15,16,33,23,13,14,21,2,1,1,12,5,2800,21-08-12,16.0,52,7,115,20,64,15
Pathmos,2009,Buurt,153,2,2,Enschede,7545,2,2966,1,2120,16,17,34,23,9,15,20,3,1,2,7,5,1600,18.0,13-07-12,66,5,40,x,x,x
Stevenfenne,2009,Buurt,153,2,3,Enschede,7545,1,2736,1,4780,18,17,34,22,10,13,16,1,1,2,7,5,3300,20-08-12,15-02-12,53,6,90,31,54,15
Stadsveld-Zuid,2009,Buurt,153,2,4,Enschede,7545,1,2277,2,1770,13,17,28,25,18,15,20,2,0,1,11,5,1400,19-06-12,15-01-12,54,5,45,x,x,x
Elferink-Heuwkamp,2009,Buurt,153,2,5,Enschede,7545,1,2372,2,2750,16,19,33,23,9,14,9,2,0,1,3,3,2000,22-03-12,16-02-12,48,6,115,23,59,18
Stadsveld-Noord-Bruggert,2009,Buurt,153,2,6,Enschede,7545,1,1674,2,1850,18,17,29,23,13,13,22,2,1,1,13,4,1200,21-09-12,15-03-12,52,7,25,x,x,x
't Zwering,2009,Buurt,153,2,7,Enschede,7545,1,1497,3,2310,23,11,25,28,12,10,4,0,0,1,2,1,1500,32.9,22-07-12,37,29,50,18,57,25
Ruwenbos,2009,Buurt,153,2,8,Enschede,7543,1,2221,2,1620,29,9,33,21,8,9,5,0,0,2,2,1,1000,32.4,21-02-12,33,27,30,x,x,x
Tubantia-Toekomst,2009,Buurt,153,3,0,Enschede,7521,1,1616,2,4950,15,16,31,25,12,14,8,0,0,1,3,3,3700,24-09-12,18.0,42,12,235,22,65,13
Twekkelerveld,2009,Buurt,153,3,1,Enschede,7521,1,1269,3,4130,13,19,32,19,16,15,20,1,0,2,10,7,3000,19-08-12,15.0,58,5,80,15,66,19
Walhof-Roessingh,2009,Buurt,153,4,0,Enschede,7522,1,2032,2,2450,17,13,33,25,12,13,7,0,0,0,3,3,1700,26-04-12,19-02-12,41,17,120,17,60,23
Bolhaar,2009,Buurt,153,4,1,Enschede,7522,1,1357,3,1620,15,7,19,28,31,13,2,0,0,0,0,1,1200,39.3,29-07-12,30,37,70,6,64,31
